supercell_index,target_bin_deg,candidate_id,phase_deg,phase_error_to_bin,target_conversion,opposite_spin_leakage,conversion_to_leakage_ratio,dimer_center_x_nm,dimer_pitch_nm,cumulative_target_phase_deg,config_path
0,0,cpk_zero_l60_h232_p1geom120x58_p2geom76x137_01,23.01,23.00999999999999,0.809,0.105,7.67,203.81034934699343,407.62069869398687,0.0,configs/apcd_k6_phase_state_candidates/cpk_zero_l60_h232_p1geom120x58_p2geom76x137_01.yaml
1,60,aggr_lhs_retention_dy_05,72.24132809604521,12.241328096045208,0.8570222822237621,0.1028870531101224,8.329738837977422,611.4310480409803,407.62069869398687,60.0,configs/apcd_k6_phase_state_candidates/aggr_lhs_retention_dy_05.yaml
2,120,cpk_rot_release_02,120.25715682505454,0.25715682505455106,0.9364983370134424,0.06742385860976192,13.88971732426127,1019.0517467349672,407.62069869398687,120.0,configs/apcd_k6_phase_state_candidates/cpk_rot_release_02.yaml
3,-180,cpk_resphase_scale104_nohelper_01,-179.81204497638768,0.18795502361231797,0.9173492195087667,0.09002136925293662,10.190349548250746,1426.672445428954,407.62069869398687,180.0,configs/apcd_k6_phase_state_candidates/cpk_resphase_scale104_nohelper_01.yaml
4,-120,cpk_060_anchor_wh03_h425_scale98_01,-120.03085152462465,0.03085152462466567,0.914178722486521,0.08855793276990336,10.322945600508461,1834.293144122941,407.62069869398687,240.0,configs/apcd_k6_phase_state_candidates/cpk_060_anchor_wh03_h425_scale98_01.yaml
5,-60,cpk_060_boundary_h435_aniso_reduce10_01,-66.33411515401983,6.334115154019827,0.8588550425801951,0.13843098639575319,6.20421095692878,2241.9138428169276,407.62069869398687,300.0,configs/apcd_k6_phase_state_candidates/cpk_060_boundary_h435_aniso_reduce10_01.yaml
