variant_id,changed_parameter,delta_nm,target_conversion,opposite_spin_leakage,conversion_to_leakage_ratio,PD,total_transmission,phase_deg,phase_shift_vs_baseline_deg,overall_early_pass,priority,notes
p1L_m10,pillar_1_length_nm,-10.0,0.9432781844426418,0.08702803074499596,10.838785806802145,0.8310637566530411,0.5151531075938189,103.97568470011174,-7.340966210077795,True,keep_candidate,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_candidate
p1L_m5,pillar_1_length_nm,-5.0,0.9633130891923771,0.03274486508525911,29.418752731328766,0.9342510845978365,0.49802897713881833,106.86075741213324,-4.455893498056298,True,keep_candidate,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_candidate
baseline,none,0.0,0.9711541351322045,0.0401994772579764,24.158377206667513,0.9205036166065964,0.5056768061950905,111.31665091018952,0.0,True,keep_high_priority,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_high_priority
p1L_p5,pillar_1_length_nm,5.0,0.9445714253434363,0.11078078290051971,8.526491694720443,0.7900591252180209,0.5276761041219782,116.59195034600026,5.275299435810723,True,keep_candidate,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_candidate
p1L_p10,pillar_1_length_nm,10.0,0.8532489247928811,0.2314567251907657,3.6864296083293766,0.5732358816522403,0.5423528249918234,124.130057004286,12.813406094096479,False,record_not_priority,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=record_not_priority
p1W_m5,pillar_1_width_nm,-5.0,0.9630178978367885,0.03327122222380918,28.94447012889415,0.9332097047847876,0.49814456003029894,105.3182336278107,-5.998417282378824,True,keep_high_priority,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_high_priority
p1W_p5,pillar_1_width_nm,5.0,0.9472618562179853,0.11949113699612182,7.927465417303727,0.7759722489524304,0.5333764966070538,118.07875127181352,6.762100361623993,True,keep_candidate,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_candidate
p2W_m10,pillar_2_width_nm,-10.0,0.9326477741220178,0.3489369565512095,2.6728260122927705,0.4554601842546334,0.6407923653366139,107.57055018975015,-3.746100720439358,False,record_not_priority,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=record_not_priority
p2W_m5,pillar_2_width_nm,-5.0,0.9536094363333241,0.14331073983793746,6.654137976023684,0.7387034299277365,0.5484600880856311,109.3414613256755,-1.9751895845140268,True,keep_candidate,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_candidate
p2W_p10,pillar_2_width_nm,10.0,0.989295647991839,0.013538327784482138,73.07369592969323,0.9729998621666397,0.5014169878881605,115.51767735660424,4.201026446414716,True,keep_high_priority,existing real-run result summarized; not a new FDTD run; 08-P9 combined decision priority=keep_high_priority
