K,wavelength_nm,target_angle_deg,order_m,order_n,expected_theta_deg,input_basis,output_basis,Jxx_real,Jxx_imag,Jxy_real,Jxy_imag,Jyx_real,Jyx_imag,Jyy_real,Jyy_imag,t_alpha_star_from_alpha_real,t_alpha_star_from_alpha_imag,t_beta_star_from_alpha_real,t_beta_star_from_alpha_imag,t_alpha_star_from_beta_real,t_alpha_star_from_beta_imag,t_beta_star_from_beta_real,t_beta_star_from_beta_imag,target_conversion,alpha_cross_leakage,beta_to_target_leakage,beta_total_leakage,target_order_ER_dB,notes
6,633.0,15.0,0,-1,-14.999999999999998,alpha_beta,alpha_star_beta_star,-0.0011938450422605365,0.0002641757718889628,-0.0012638713070304744,-0.0011680769796690391,0.00011564701306582407,-0.0002129045276850959,-0.0027352316417046125,0.0016261638229555174,-0.0015328906137444703,0.0023105248841559334,0.0006938259102703495,-0.0009068037934529888,-0.0006856924098259492,-0.0018619762454369323,-0.0012548828814330313,0.00037095250880839334,7.688278874009688e-06,1.3036875135832097e-06,3.937129619464333e-06,5.649466429369242e-06,2.906493611148719,K=6 uniform scaffold diagnostic; gratingvector columns scaled by sqrt(total_transmission); not final metagrating
6,633.0,15.0,0,0,0.0,alpha_beta,alpha_star_beta_star,0.22897280405299006,-0.166999746472696,-0.374083031988702,-0.04069917494461837,-0.3715104947358066,0.06223687940148103,0.37882433425406936,0.6685719826760715,0.745753733408786,0.6140725533561231,-0.02711079697984886,0.052079407812991974,-0.02968333423274423,-0.050856646533107404,0.11257846147672876,0.03846357437989941,0.9332337316784515,0.0034472600310345115,0.0034674988277662313,0.017620855370311588,24.299741049028263,K=6 uniform scaffold diagnostic; gratingvector columns scaled by sqrt(total_transmission); not final metagrating
6,633.0,15.0,0,1,14.999999999999998,alpha_beta,alpha_star_beta_star,-0.0011212140246512387,0.00028756629464846075,-0.0006271154431557829,-0.0014388082385472071,-0.00022908842161222117,-0.0002948244405297272,-0.001974121600597008,0.00037912234150052514,-0.0015037201492974106,0.0013082895504837378,0.0003905813431697449,-0.0001118553482657113,-7.445678373816885e-06,-0.0012558391462831916,-0.001506050977476362,1.7686225434107843e-05,3.972795835307968e-06,1.6506540456792554e-07,1.577187399463742e-06,3.845689748791354e-06,4.012127821656683,K=6 uniform scaffold diagnostic; gratingvector columns scaled by sqrt(total_transmission); not final metagrating
